Date,Unrate,interbank_rates,cpi,mortgage_interest_rate,HouseIndex_victoria,HouseIndex_vancouver,HouseIndex_montreal,personal_savings_rate
11-00,6.9,5.876666667,77.3470341,8.04,61.94,67.96,63.81,4.5
12-00,6.8,5.763684211,77.42710349,7.81,62.09,68.1,63.94,4.2
01-01,6.9,5.456363636,77.50717288,7.58,62.33,68.36,63.99,4.8
02-01,7,5.2075,77.90751985,7.52,62.02,68.34,64.23,4.9
03-01,7.1,4.748181818,78.06765864,7.19,61.75,67.96,64.47,5.3
04-01,7.1,4.6025,78.78828318,7.22,61.89,68.15,64.84,5
05-01,7,4.445909091,79.10856075,7.38,62.08,68.67,65.41,4.4
06-01,7.2,4.41952381,78.70821379,7.47,62.43,69.44,66.25,4.4
07-01,7.1,4.304285714,78.78828318,7.46,62.69,69.55,67.22,5.6
08-01,7.2,4.062727273,78.86835257,7.39,63.08,69.58,67.95,6.8
09-01,7.2,3.497894737,78.78828318,7.03,63.6,69.9,67.89,7
10-01,7.3,2.896363636,78.4680056,6.74,64.03,70.19,67.76,3.4
11-01,7.5,2.284761905,78.30786682,6.51,64.33,70.34,67.69,4.1
12-01,8.1,2.117368421,78.548075,6.64,64.45,70.3,67.89,4.5
01-02,8,2.014090909,78.548075,6.62,64.9,70.67,68.03,6.1
02-02,7.9,2.116,79.18863015,6.59,65.06,71.28,68.43,5.8
03-02,7.9,2.2405,79.26869954,6.8,65.75,72.13,69.23,5.9
04-02,7.7,2.402727273,79.66904651,7,66.43,72.97,70.11,5.8
05-02,7.7,2.610909091,79.50890772,7,67.54,73.77,70.93,6.5
06-02,7.7,2.789,79.90925469,6.98,68.09,74.56,72.1,6.4
07-02,7.6,2.875909091,80.54980984,6.9,68.51,74.97,73.71,5.5
08-02,7.4,2.945714286,80.62987923,6.61,68.49,75.2,74.88,5.4
09-02,7.5,2.9155,80.54980984,6.49,68.78,75.1,75.25,5.7
10-02,7.5,2.880909091,80.87008741,6.5,68.93,75.39,75.53,5.7
11-02,7.5,2.836,81.0302262,6.47,69.73,75.38,75.88,5.7
12-02,7.6,2.857,81.11029559,6.39,70.16,75.8,76.73,5.5
01-03,7.4,2.87,81.51064256,6.26,70.74,76.05,76.95,5.5
02-03,7.4,2.921,82.39140589,6.29,71.02,77.03,77.96,5.6
03-03,7.4,3.201904762,82.47147528,6.33,71.52,77.84,78.56,5.3
04-03,7.6,3.301904762,81.83092013,6.44,72.19,78.65,79.62,5.3
05-03,7.8,3.322857143,81.91098952,6.1,73.46,79.33,80.44,5.8
06-03,7.6,3.215714286,81.75085074,5.62,74.89,80.03,81.57,5.5
07-03,7.6,3.010454545,81.91098952,5.71,76.43,80.78,82.56,6.2
08-03,7.8,2.854210526,81.99105892,5.87,77.19,81.3,83.34,6
09-03,7.9,2.712857143,81.91098952,5.97,78.49,82.11,84.1,5.1
10-03,7.6,2.695,81.91098952,5.83,80.05,83.08,84.88,5.3
11-03,7.4,2.76,82.1511977,6.02,81.26,83.68,85.16,5.4
12-03,7.4,2.707142857,82.1511977,6,81.34,84.31,85.23,5.4
01-04,7.3,2.508095238,82.55154467,5.78,81.49,84.73,85.81,5
02-04,7.4,2.323,82.87182225,5.51,81.81,86.17,86.68,5
03-04,7.3,2.159565217,83.03196103,5.31,83.56,87.63,87.92,4.9
04-04,7.2,2.068571429,83.03196103,5.56,85.2,89.16,89.03,5.3
05-04,7.1,2.0675,83.75258557,5.82,87.39,90.64,90.64,5.2
06-04,7.2,2.101818182,83.75258557,6.06,89.32,91.97,91.81,5.8
07-04,7,2.105238095,83.59244679,6.1,90.03,92.84,92.57,5.2
08-04,7,2.145238095,83.59244679,5.97,90.69,93.08,92.44,5.1
09-04,7,2.412857143,83.83265497,5.94,90.98,92.74,92.62,4.6
10-04,7.1,2.575,84.31307133,5.95,91.87,93.04,92.88,4.5
11-04,7.2,2.703809524,84.31307133,5.87,92.07,93.1,93.47,4
12-04,7.1,2.571904762,84.15293254,5.69,92.85,93.9,94.19,6.8
01-05,6.9,2.564,84.15293254,5.6,93.4,93.81,94.51,3.6
02-05,7,2.5825,84.39314072,5.59,95.02,94.6,95.45,3.2
03-05,6.9,2.625909091,85.03369587,5.6,96.32,95.22,96.29,3.4
04-05,6.8,2.584761905,85.03369587,5.67,98.73,96.9,97.78,3
05-05,7,2.586190476,85.19383466,5.55,101.46,99.04,98.73,3.5
06-05,6.8,2.583181818,85.43404284,5.31,100,100,100,2.8
07-05,6.7,2.631,85.51411223,5.26,102.74,101.36,99.36,2.2
08-05,6.7,2.77,85.9144592,5.32,106.65,102.89,99.16,2.6
09-05,6.7,2.89,86.63508374,5.3,106.87,103.73,99.49,2.6
10-05,6.7,3.099,86.07459798,5.39,107.52,104.59,99.91,3
11-05,6.3,3.295714286,86.07459798,5.56,107,105.51,100.4,3.5
12-05,6.6,3.469,85.9144592,5.6,107.5,106.56,99.81,3.6
01-06,6.6,3.618571429,86.39487556,5.65,106.09,107.16,99.96,4.2
02-06,6.4,3.763,86.39487556,5.75,108.14,108.92,100.77,4.2
03-06,6.4,3.940869565,86.63508374,5.78,110.3,110.77,102.05,4.2
04-06,6.3,4.122631579,87.19556949,5.88,114.63,112.55,103.21,3.9
05-06,6.1,4.258636364,87.27563889,6.05,116.68,114.8,104.34,3.7
06-06,6.1,4.417727273,87.1155001,6.12,117.33,117.27,104.92,3.9
07-06,6.4,4.378,87.19556949,6.26,124.97,121.68,107.62,3.3
08-06,6.4,4.344090909,87.19556949,6.24,125.87,126.19,108.03,3.6
09-06,6.4,4.3215,86.79522253,6.13,124.51,127.86,107.74,3.5
10-06,6.1,4.327619048,86.95536131,6.01,123.78,128.53,108.2,3.5
11-06,6.2,4.312380952,87.03543071,5.99,123.36,129.42,108.6,3.9
12-06,6.1,4.320588235,86.95536131,5.89,123.01,128.76,108.81,3.7
01-07,6.2,4.333636364,87.03543071,5.91,125,128.36,109.51,3.6
02-07,6.2,4.348,87.67598585,6,126.25,128.19,108.87,4
03-07,6.1,4.345909091,88.316541,5.91,127.5,130.04,110.2,4.3
04-07,6.2,4.35,88.47667979,5.92,127.74,132.42,111.52,4.1
05-07,6,4.368636364,88.71688797,6.01,130.11,134.59,113.88,3.9
06-07,6.1,4.52952381,88.47667979,6.51,131.92,136.5,114.91,3.7
07-07,6,4.68,88.47667979,6.6,133.17,138.44,115.26,3.6
08-07,5.9,4.947272727,88.07633282,6.62,134.93,140.48,115.45,3.3
